,RegionName,variable,value
703,Norwood Park East,1997-04,165403.0
704,Washington Park,1997-04,0.0
705,Edison Park,1997-04,184953.0
706,Pilsen,1997-04,179260.0
707,Roscoe Village,1997-04,275579.0
708,Sheffield Neighbors,1997-04,449199.0
709,Wrightwood Neighbors,1997-04,347849.0
710,Wrightwood,1997-04,111128.0
711,Budlong Woods,1997-04,113104.0
712,Burnside,1997-04,53097.0
713,Fernwood,1997-04,0.0
714,Noble Square,1997-04,243765.0
715,Rosemoor,1997-04,81094.0
716,Kenwood,1997-04,196211.0
717,Longwood Manor,1997-04,0.0
718,Schorsch Village,1997-04,161533.0
719,Mayfair,1997-04,156069.0
720,North Mayfair,1997-04,145244.0
721,West Woodlawn,1997-04,0.0
722,Sauganash,1997-04,223867.0
723,East Ukrainian Village,1997-04,196090.0
724,Dunning,1997-04,155110.0
725,Old Town Triangle,1997-04,238066.0
726,Hollywood Park,1997-04,181087.0
727,Kilbourn Park,1997-04,147232.0
728,Norwood Park West,1997-04,173816.0
729,West Loop Gate,1997-04,0.0
730,East Chatham,1997-04,0.0
731,Hegewisch,1997-04,60706.0
732,New Eastside,1997-04,237112.0
733,Lake Calumet,1997-04,0.0
734,North Park,1997-04,178250.0
735,River North,1997-04,179964.0
736,Ukrainian Village,1997-04,186301.0
737,Canaryville,1997-04,126789.0
738,Tri-Taylor,1997-04,110362.0
